,meaning1,meaning2,meaning1_clean,meaning2_clean
0,(gun)powder,quick,gunpowder,quick
1,(gun)powder,small quantity of something,gunpowder,small quantity of something
2,August,harvest,August,harvest
3,Coleus (Plectranthus) rotundifolius,potato,  common weed,potato
4,Easter,ladybird,Easter,ladybird
5,"Gipsy, Gypsy",to ask (for), Gypsy,to ask for
6,"Gipsy, Gypsy",to deceive, Gypsy,to deceive
7,"Gipsy, Gypsy",to nomadize, Gypsy,to become nomadic
8,Jesuit,cunning person,Jesuit,cunning person
9,Jupiter,Thursday,Jupiter,Thursday
10,Mars,Tuesday,Mars,Tuesday
11,Mercury,Wednesday,Mercury,Wednesday
12,Mercury,mercury,Mercury,mercury
13,Samsara,wife,Samsara,wife
14,Saturday,week,Saturday,week
15,Thai crape myrtle,guava (Psidium guajava),Thai crape myrtle,guava  
16,Turk,dandelion,Turk,dandelion
17,Turk,"heathen, pagan",Turk,heathen or pagan
18,Turk,moslem,Turk,moslem
19,Turk,swearword,Turk,swear word
20,Venus,Friday,Venus,Friday
21,above,additional,above,additional
22,acorn,clubs (in cards),acorn,clubs in cards
23,"act, deed",drama (theatre),act or deed,drama theater
24,active,clever,active,clever
25,active,keen (of senses),active,keen of senses
26,acute (of sound),spicy,acute of sound,spicy
27,affair,battle,affair,battle
28,ahead,elder,ahead,elder
29,"aim, goal",goal (sport result),aim or goal,goal sport result
30,air,appearance; look,air,appearance; look
31,air,aër (veil covering vessels in the Orthodox Church),air, veil covering vessels in the orthodox Church
32,air,environment,air,environment
33,"albumen, white of an egg",protein, white of an egg,protein
34,alder (tree),blood,alder tree,blood
35,algae,"many, much",algae,many or much
36,alive,active,alive,active
37,almond,tonsil,almond,tonsil
38,alone,god,alone,god
39,alone,monk,alone,monk
40,alone,"only, just",alone,only or just
41,always,nevertheless,always,nevertheless
42,always,still (adv.),always,still 
43,amber,electricity,amber,electricity
44,anathema,swearword,anathema,swear word
45,ancestor,bear (Ursus),ancestor,bear 
46,animal,bear (Ursus),animal,bear 
47,animal,fool,animal,fool
48,animal bladder,glass (material),animal bladder,glass material
49,animal yield,"property, possessions",animal yield,property or possessions
50,ankle bone for playing,spool,ankle bone for playing,spool
51,ant,to grow numb,ant,to grow numb
52,any,bad,any,bad
53,apple,knee,apple,knee
54,apple,potato,apple,potato
55,arc,bow (weapon),arc,bow weapon
56,arc,rainbow,arc,rainbow
57,armpit,corner,armpit,corner
58,armpit,gulf,armpit,gulf
59,arrow,bullet,arrow,bullet
60,arrow,diamonds (in cards),arrow,diamonds in cards
61,arrow,lightning,arrow,lightning
62,arrow,rainbow,arrow,rainbow
63,arrow,spades (in cards),arrow,spades in cards
64,ash (tree),maple,ash tree,maple
65,atheist,cruel,atheist,cruel
66,atheist,scoundrel,atheist,scoundrel
67,attack (n.),attack of disease,attack ,attack of disease
68,attentive,sober,attentive,sober
69,aunt (father's sister),fever,aunt father's sister,fever
70,aunt (father's sister),lady,aunt father's sister,lady
71,aunt (mother's sister),smallpox,aunt mother's sister,smallpox
72,aunt (mother's sister),widow,aunt mother's sister,widow
73,autumn,sad,autumn,sad
74,autumn,year,autumn,year
75,back (body part),book back,back body part,book back
76,back (body part),height (of a person),back body part,height of a person
77,back (body part),loins,back body part,loins
78,back (body part),"mountain ridge, edge",back body part,mountain ridge or edge
79,back (body part),plateau,back body part,plateau
80,back (body part),support (n.),back body part,support 
81,back of the head,back of the axe head,back of the head,back of the ax head
82,back of the head,hill,back of the head,hill
83,backwards,again,backwards,again
84,bad (ethically),bear (Ursus),bad ethically,bear 
85,bad weather,mushroom,bad weather,mushroom
86,barley,bread,barley,bread
87,barley,oat,barley,oat
88,barley,sty (on the eye),barley,sty on the eye
89,barrel,Boletus edulis,barrel,penny bun fungus
90,barrel,fat (adj.)(of a person),barrel,fat of a person
91,barrier,diaphragm,barrier,diaphragm
92,basket,chest (body part),basket,chest body part
93,bat (Microchiroptera),"poor, needy",bat ,poor or needy
94,bathroom,toilet,bathroom,toilet
95,battle,"dispute, discussion",battle,dispute or discussion
96,bead,cataract (of the eye),bead,cataract of the eye
97,beak,cock (of a gun),beak,cock of a gun
98,beak,face,beak,face
99,beak,well sweep,beak,well sweep
100,bear (Ursus),hedgehog (Еrinaceus),bear ,hedgehog 
101,beard,chin,beard,chin
102,beard,moustache,beard,mustache
103,beard,"plait, braid",beard,plait or braid
104,bearded man,bearded vulture,bearded man,bearded vulture
105,beautiful,beloved,beautiful,beloved
106,beautiful,good,beautiful,good
107,bed,garden bed,bed,garden bed
108,bed,river-bed,bed,river bed
109,bee,"industrious, diligent person",bee,industrious or diligent person
110,bee,sugar,bee,sugar
111,bee swarm,crowd (of people),bee swarm,crowd of people
112,beehive,cannon (weapon),beehive,cannon weapon
113,beetle,common starling,beetle,common starling
114,beetle,insect,beetle,insect
115,beetle,pupil (of an eye),beetle,pupil of an eye
116,before,ancestor,before,ancestor
117,behind,North,behind,North
118,behind,after,behind,after
119,bell,bellflower (Campanula),bell,bellflower 
120,bell,eye socket,bell,eye socket
121,bell,"watch, clock",bell,watch or clock
122,belly,beehive,belly,beehive
123,belly,body,belly,body
124,belly,centre,belly,center
125,belly,generation,belly,generation
126,belly,middle,belly,middle
127,belly,pregnant,belly,pregnant
128,belly,river-bed,belly,river bed
129,beloved,husband,beloved,husband
130,belt,rainbow,belt,rainbow
131,bench,garden bed,bench,garden bed
132,benediction,will (legal document),benediction,will legal document
133,big,boss,big,boss
134,big,difficult,big,difficult
135,big,great,big,great
136,big,"grown-up, adult",big,grown up or adult
