Concepticon_Gloss.xo,Concepticon_Gloss.yo,xo_source_score,xo_source_odds,labels
TREE,COFFIN,105903126.0,41.85884381301862,1.0
WATER,PAPAYA,77737401.0,40.440185904142005,1.0
WEAVE,STEAM (VERB),75734505.0,40.30435615585411,1.0
WEAVE,BEND (ONESELF),75734505.0,40.30435615585411,1.0
LOOK,PUT OUT TO PASTURE,65219301.0,39.47467075338598,1.0
KNOW (SOMETHING),BY HEART,61964595.0,39.169631879541456,1.0
BIG,CITY,58960251.0,38.862992714538166,1.0
UNCLE,BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER),57082536.0,38.65767132416281,1.0
GOOD,BENEFIT,56331450.0,38.572352969371615,1.0
HIGH,BARREL,46316970.0,37.2224168829812,1.0
SICK,SPIKE,40683825.0,36.23474218127246,1.0
BUY,RUST,38931291.0,35.882333260520326,1.0
DARK,MUGWORT,37929843.0,35.66970357253356,1.0
BRIGHT,BAMBOO SHOOT,37554300.0,35.58772245702481,1.0
LOUSE,GALL BLADDER,36678033.0,35.391447701700095,1.0
FOOD,MUSH,35676585.0,35.15817767025213,1.0
NEPHEW,GRANDSON (SON'S SON),35676585.0,35.15817767025213,1.0
FAST,DILIGENT,35050680.0,35.007270983979865,1.0
FLOW,BOOMERANG,35050680.0,35.007270983979865,1.0
TONGUE,JOINT,31921155.0,34.1872573536893,1.0
CHIEFTAIN,CHONTA PALM,31545612.0,34.08081571976163,1.0
PINCH,MASSAGE (SOMEBODY),31044888.0,33.93596033265997,1.0
ONE,SADDLE,30794526.0,33.86224194694119,1.0
LOW,SMALL (NOT TALL),28290906.0,33.07384736247729,1.0
CLOTHES,SARONG,27414639.0,32.773852063231715,1.0
CLOTHES,CUSHMA,27414639.0,32.773852063231715,1.0
STONE OR ROCK,WHETSTONE,27289458.0,32.72988493339954,1.0
ANIMAL,HYENA,25662105.0,32.13125027389456,1.0
ROPE,LASSO,25411743.0,32.034448852398256,1.0
FISH,HIGHLAND BARLEY,24535476.0,31.68500792916953,1.0
PLANT (VEGETATION),SOAK (VERB),23659209.0,31.318075740387506,1.0
THICK,STRONG (OF DRINK),23659209.0,31.318075740387506,1.0
FAECES (EXCREMENT),PYTHON,23408847.0,31.20984018334851,1.0
FEAR (BE AFRAID),MAPLE TREE,22657761.0,30.875572501400168,1.0
AFTER,BACK (PART),22657761.0,30.875572501400168,1.0
DOG,LITTLE FINGER,22657761.0,30.875572501400168,1.0
SPEAR,SPEAR (SOMEBODY),22282218.0,30.70284041899418,1.0
CHOOSE,SOAP,22157037.0,30.644402706915415,1.0
MUD,SOIL,21405951.0,30.284397543401465,1.0
BULL,TAPIR,21155589.0,30.160699087149233,1.0
OX,BISON,20529684.0,29.84295358208174,1.0
THREAD,BIRD NEST,19778598.0,29.44479379739712,1.0
SOUR,STRAW RAINCOAT,19528236.0,29.307769886960543,1.0
ARROW,CROSSBOW,19403055.0,29.238421373838747,1.0
CUT,CUT NUT,81570640.33333385,28.552880637621335,1.0
EAR,GROUNDNUTS,17775702.0,28.28264985632504,1.0
SAND,PEBBLES,17149797.0,27.885984809682,1.0
SMELL (STINK),ELEPHANT TUSK,17024616.0,27.8045520467225,1.0
BELIEVE,WITNESS,16774254.0,27.63951200703912,1.0
CHARCOAL,HUNTER,15772806.0,26.948886527270428,1.0
CLEVER,CUNNING,15647625.0,26.85895620381575,1.0
MEDICINE,GUNPOWDER,15146901.0,26.490738586976484,1.0
