,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
0,(gun)powder,quick,gunpowder,quick,1
1,(gun)powder,small quantity of something,gunpowder,small quantity of something,1
2,August,harvest,August,harvest,3
3,Coleus (Plectranthus) rotundifolius,potato,  common weed,potato,1
4,Easter,ladybird,Easter,ladybird,1
5,"Gipsy, Gypsy",to ask (for), Gypsy,to ask for,1
6,"Gipsy, Gypsy",to deceive, Gypsy,to deceive,1
7,"Gipsy, Gypsy",to nomadize, Gypsy,to become nomadic,2
8,Jesuit,cunning person,Jesuit,cunning person,1
9,Jupiter,Thursday,Jupiter,Thursday,3
10,Mars,Tuesday,Mars,Tuesday,3
11,Mercury,Wednesday,Mercury,Wednesday,3
12,Mercury,mercury,Mercury,mercury,1
13,Samsara,wife,Samsara,wife,1
14,Saturday,week,Saturday,week,3
15,Thai crape myrtle,guava (Psidium guajava),Thai crape myrtle,guava  ,1
16,Turk,dandelion,Turk,dandelion,1
17,Turk,"heathen, pagan",Turk,heathen or pagan,1
18,Turk,moslem,Turk,moslem,2
19,Turk,swearword,Turk,swear word,1
20,Venus,Friday,Venus,Friday,4
21,above,additional,above,additional,2
22,acorn,clubs (in cards),acorn,clubs in cards,1
23,"act, deed",drama (theatre),act or deed,drama theater,1
24,active,clever,active,clever,1
25,active,keen (of senses),active,keen of senses,1
26,acute (of sound),spicy,acute of sound,spicy,1
27,affair,battle,affair,battle,5
28,ahead,elder,ahead,elder,1
29,"aim, goal",goal (sport result),aim or goal,goal sport result,3
30,air,appearance; look,air,appearance; look,1
31,air,aër (veil covering vessels in the Orthodox Church),air, veil covering vessels in the orthodox Church,1
32,air,environment,air,environment,2
33,"albumen, white of an egg",protein, white of an egg,protein,7
34,alder (tree),blood,alder tree,blood,1
35,algae,"many, much",algae,many or much,1
36,alive,active,alive,active,3
37,almond,tonsil,almond,tonsil,16
38,alone,god,alone,god,1
39,alone,monk,alone,monk,1
40,alone,"only, just",alone,only or just,6
41,always,nevertheless,always,nevertheless,1
42,always,still (adv.),always,still ,3
43,amber,electricity,amber,electricity,3
44,anathema,swearword,anathema,swear word,2
45,ancestor,bear (Ursus),ancestor,bear ,1
46,animal,bear (Ursus),animal,bear ,1
47,animal,fool,animal,fool,1
48,animal bladder,glass (material),animal bladder,glass material,1
49,animal yield,"property, possessions",animal yield,property or possessions,1
50,ankle bone for playing,spool,ankle bone for playing,spool,1
51,ant,to grow numb,ant,to grow numb,1
52,any,bad,any,bad,2
53,apple,knee,apple,knee,1
54,apple,potato,apple,potato,6
55,arc,bow (weapon),arc,bow weapon,8
56,arc,rainbow,arc,rainbow,2
57,armpit,corner,armpit,corner,1
58,armpit,gulf,armpit,gulf,1
59,arrow,bullet,arrow,bullet,10
60,arrow,diamonds (in cards),arrow,diamonds in cards,1
61,arrow,lightning,arrow,lightning,1
62,arrow,rainbow,arrow,rainbow,1
63,arrow,spades (in cards),arrow,spades in cards,1
64,ash (tree),maple,ash tree,maple,1
65,atheist,cruel,atheist,cruel,4
66,atheist,scoundrel,atheist,scoundrel,2
67,attack (n.),attack of disease,attack ,attack of disease,5
68,attentive,sober,attentive,sober,1
69,aunt (father's sister),fever,aunt father's sister,fever,1
70,aunt (father's sister),lady,aunt father's sister,lady,1
71,aunt (mother's sister),smallpox,aunt mother's sister,smallpox,1
72,aunt (mother's sister),widow,aunt mother's sister,widow,1
73,autumn,sad,autumn,sad,1
74,autumn,year,autumn,year,5
75,back (body part),book back,back body part,book back,1
76,back (body part),height (of a person),back body part,height of a person,2
77,back (body part),loins,back body part,loins,2
78,back (body part),"mountain ridge, edge",back body part,mountain ridge or edge,24
79,back (body part),plateau,back body part,plateau,1
80,back (body part),support (n.),back body part,support ,5
81,back of the head,back of the axe head,back of the head,back of the ax head,2
82,back of the head,hill,back of the head,hill,1
83,backwards,again,backwards,again,5
84,bad (ethically),bear (Ursus),bad ethically,bear ,2
85,bad weather,mushroom,bad weather,mushroom,1
86,barley,bread,barley,bread,1
87,barley,oat,barley,oat,1
88,barley,sty (on the eye),barley,sty on the eye,11
89,barrel,Boletus edulis,barrel,penny bun fungus,1
90,barrel,fat (adj.)(of a person),barrel,fat of a person,1
91,barrier,diaphragm,barrier,diaphragm,1
92,basket,chest (body part),basket,chest body part,1
93,bat (Microchiroptera),"poor, needy",bat ,poor or needy,1
94,bathroom,toilet,bathroom,toilet,6
95,battle,"dispute, discussion",battle,dispute or discussion,1
96,bead,cataract (of the eye),bead,cataract of the eye,1
97,beak,cock (of a gun),beak,cock of a gun,1
98,beak,face,beak,face,1
99,beak,well sweep,beak,well sweep,1
100,bear (Ursus),hedgehog (Еrinaceus),bear ,hedgehog ,1
101,beard,chin,beard,chin,2
102,beard,moustache,beard,mustache,2
