,meaning1,meaning2,realizations
0,(gun)powder,quick,1
1,(gun)powder,small quantity of something,1
2,August,harvest,3
3,Coleus (Plectranthus) rotundifolius,potato,1
4,Easter,ladybird,1
5,"Gipsy, Gypsy",to ask (for),1
6,"Gipsy, Gypsy",to deceive,1
7,"Gipsy, Gypsy",to nomadize,2
8,Jesuit,cunning person,1
9,Jupiter,Thursday,3
10,Mars,Tuesday,3
11,Mercury,Wednesday,3
12,Mercury,mercury,1
13,Samsara,wife,1
14,Saturday,week,3
15,Thai crape myrtle,guava (Psidium guajava),1
16,Turk,dandelion,1
17,Turk,"heathen, pagan",1
18,Turk,moslem,2
19,Turk,swearword,1
20,Venus,Friday,4
21,above,additional,2
22,acorn,clubs (in cards),1
23,"act, deed",drama (theatre),1
24,active,clever,1
25,active,keen (of senses),1
26,acute (of sound),spicy,1
27,affair,battle,5
28,ahead,elder,1
29,"aim, goal",goal (sport result),3
30,air,appearance; look,1
31,air,aër (veil covering vessels in the Orthodox Church),1
32,air,environment,2
33,"albumen, white of an egg",protein,7
34,alder (tree),blood,1
35,algae,"many, much",1
36,alive,active,3
37,almond,tonsil,16
38,alone,god,1
39,alone,monk,1
40,alone,"only, just",6
41,always,nevertheless,1
42,always,still (adv.),3
43,amber,electricity,3
44,anathema,swearword,2
45,ancestor,bear (Ursus),1
46,animal,bear (Ursus),1
47,animal,fool,1
48,animal bladder,glass (material),1
49,animal yield,"property, possessions",1
50,ankle bone for playing,spool,1
51,ant,to grow numb,1
52,any,bad,2
53,apple,knee,1
54,apple,potato,6
55,arc,bow (weapon),8
56,arc,rainbow,2
57,armpit,corner,1
58,armpit,gulf,1
59,arrow,bullet,10
60,arrow,diamonds (in cards),1
61,arrow,lightning,1
62,arrow,rainbow,1
63,arrow,spades (in cards),1
64,ash (tree),maple,1
65,atheist,cruel,4
66,atheist,scoundrel,2
67,attack (n.),attack of disease,5
68,attentive,sober,1
69,aunt (father's sister),fever,1
70,aunt (father's sister),lady,1
71,aunt (mother's sister),smallpox,1
72,aunt (mother's sister),widow,1
73,autumn,sad,1
74,autumn,year,5
75,back (body part),book back,1
76,back (body part),height (of a person),2
77,back (body part),loins,2
78,back (body part),"mountain ridge, edge",24
79,back (body part),plateau,1
80,back (body part),support (n.),5
81,back of the head,back of the axe head,2
82,back of the head,hill,1
83,backwards,again,5
84,bad (ethically),bear (Ursus),2
85,bad weather,mushroom,1
86,barley,bread,1
87,barley,oat,1
88,barley,sty (on the eye),11
89,barrel,Boletus edulis,1
90,barrel,fat (adj.)(of a person),1
91,barrier,diaphragm,1
92,basket,chest (body part),1
93,bat (Microchiroptera),"poor, needy",1
94,bathroom,toilet,6
95,battle,"dispute, discussion",1
96,bead,cataract (of the eye),1
97,beak,cock (of a gun),1
98,beak,face,1
99,beak,well sweep,1
100,bear (Ursus),hedgehog (Еrinaceus),1
101,beard,chin,2
102,beard,moustache,2
103,beard,"plait, braid",1
104,bearded man,bearded vulture,1
105,beautiful,beloved,1
106,beautiful,good,14
107,bed,garden bed,8
108,bed,river-bed,8
109,bee,"industrious, diligent person",2
110,bee,sugar,2
111,bee swarm,crowd (of people),3
112,beehive,cannon (weapon),1
113,beetle,common starling,1
114,beetle,insect,1
115,beetle,pupil (of an eye),1
116,before,ancestor,1
117,behind,North,3
118,behind,after,9
119,bell,bellflower (Campanula),1
120,bell,eye socket,1
121,bell,"watch, clock",1
122,belly,beehive,1
123,belly,body,1
124,belly,centre,1
125,belly,generation,1
126,belly,middle,3
127,belly,pregnant,2
128,belly,river-bed,1
129,beloved,husband,2
130,belt,rainbow,2
131,bench,garden bed,1
132,benediction,will (legal document),1
133,big,boss,3
134,big,difficult,1
135,big,great,15
136,big,"grown-up, adult",4
137,big,"high (size), tall",4
